prey2avgOffs,prey2convRate,prey2catchProb,prey2maxCons,prey2resAva,replicatesNb,prey1densityDevMean,prey1densDevICinf,prey1densDevICsup,prey1densDevMin,prey1densDevMax,prey2densityDevMean,prey2densDevICinf,prey2densDevICsup,prey2densDevMin,prey2densDevMax,pred1densityDevMean,pred1densDevICinf,pred1densDevICsup,pred1densDevMin,pred1densDevMax,prey1amplituDevMean,prey1ampldevICinf,prey1ampldevICsup,prey2amplituDevMean,prey2ampldevICinf,prey2ampldevICsup,pred1amplituDevMean,pred1ampldevICinf,pred1ampldevICsup,prey1catchRtDevMean,prey1ctRtDevICinf,prey1ctRtDevICsup,prey1catchRtMin,prey1densDevMax,prey2catchRtDevMean,prey2ctRtDevICinf,prey2ctRtDevICsup,prey2catchRtMin,prey2densDevMax
1,100,0.1,10,100,30,4.89E-17,-0.004217817,0.004039454,-0.019798275,0.023132526,7.92E-17,-0.003998863,0.003757818,-0.018022695,0.022274964,4.40E-17,-0.006880494,0.005455142,-0.047626155,0.022895181,-2.92E-17,-0.09498865,0.095512485,-6.71E-17,-0.072783719,0.074163505,5.87E-17,-0.098665119,0.095182821,-5.92E-17,-0.015033621,0.014397992,-0.086876793,0.065584691,5.42E-17,-0.012385667,0.012187799,-0.067167269,0.068179009
1,100,0.2,10,100,30,0.117179228,0.108346659,0.126420072,0.066403556,0.162750417,-0.474049626,-0.487032024,-0.461234105,-0.523103167,-0.4171982,-0.418650468,-0.441269533,-0.394523962,-0.515753496,-0.275309324,2.451021477,2.19573948,2.669111228,4.307519834,3.920489824,4.682994136,3.409170052,3.093441672,3.718514219,-0.384625917,-0.410842908,-0.358059811,-0.52360553,-0.234556751,0.109112978,0.059686068,0.15508039,-0.093973234,0.415944414
1,100,0.3,10,100,17,0.199018537,0.190001541,0.205017132,0.141903616,0.212423951,-0.53885103,-0.573936969,-0.503523318,-0.65141289,-0.425851072,-0.626124983,-0.633315394,-0.618881896,-0.653214131,-0.591424009,3.232274366,3.061257819,3.391581672,6.375362701,6.060040988,6.659334862,4.997746748,4.840019119,5.158546994,-0.63953151,-0.652699579,-0.628831477,-0.698958947,-0.596497412,-0.000751447,-0.072070969,0.07812399,-0.212931793,0.342465632
1,100,0.4,10,100,1,0.211124892,0.211124892,0.211124892,0.211124892,0.211124892,-0.686920567,-0.686920567,-0.686920567,-0.686920567,-0.686920567,-0.65007985,-0.65007985,-0.65007985,-0.65007985,-0.65007985,3.326872708,0,0,6.093825457,0,0,5.407428903,0,0,-0.691774706,-0.691774706,-0.691774706,-0.691774706,-0.691774706,-0.196908287,-0.196908287,-0.196908287,-0.196908287,-0.196908287
