timeStep,repNb,resource1amountMean,resource1amountICinf,resource1amountICsup,resource2amountMean,resource2amountICinf,resource2amountICsup,prey1PopulationSizeMean,prey1PopulationSizeICinf,prey1PopulationSizeICsup,prey2PopulationSizeMean,prey2PopulationSizeICinf,prey2PopulationSizeICsup,prey1catchesMean,prey1catchesICinf,prey1catchesICsup,prey2catchesMean,prey2catchesICinf,prey2catchesICsup,predator1PopulationSizeMean,predator1PopulationSizeICinf,predator1PopulationSizeICsup,prey1growthRateMean,prey1growthRateICinf,prey1growthRateICsup,prey2growthRateMean,prey2growthRateICinf,prey2growthRateICsup,predatorGrowthRateMean,predatorGrowthRateICinf,predatorGrowthRateICsup,prey1catchRate,prey2catchrate
500,30,10288.76667,9232.533333,11374.33333,11712.93333,10408.5,13139.8,1252.533333,1209.166667,1291.366667,1972.233333,1913.866667,2032,27.43333333,25.4,29.43333333,45.43333333,42.36666667,48.7,271.9666667,254.3,289.6,-6.701549102,-8.195381139,-5.172373183,-6.414626844,-7.849157508,-5.029110802,28.74266705,24.51554696,32.36494536,0.021902278,0.02303649
510,30,13611.3,12239.53333,15061.76667,16102.03333,14393.23333,18162.8,1124.133333,1068.333333,1170.266667,1800.466667,1733.3,1862.8,32.33333333,30.26666667,34.46666667,51.16666667,48.23333333,53.96666667,321.9333333,308.8666667,334.0666667,-10.45132668,-12.06140521,-8.880712496,-8.839053857,-9.760868623,-7.860949155,20.23184563,15.808423,24.5338666,0.028762899,0.028418558
520,30,18159.13333,16338.6,20018.83333,22520.13333,20107.56667,24858.46667,979.3,928.4,1028.666667,1570.233333,1503.833333,1642.533333,34.26666667,31.6,37.1,53.66666667,50.83333333,56.36666667,343.4,332.7333333,353.7,-13.01887312,-14.37307412,-11.67086147,-12.87782941,-13.98768435,-11.81729167,7.77143071,3.028078242,12.38911626,0.03499098,0.034177511
530,30,23726.3,21745.9,25674.83333,30989.63333,28653.23333,33262.23333,830.1333333,789.4666667,870.1333333,1358.133333,1303.333333,1407.366667,29.83333333,26.9,32.9,50.3,47,53.86666667,326.4666667,307.2666667,344.1666667,-15.0642566,-16.79505852,-13.39183337,-13.28967503,-14.70449403,-11.56556539,-4.949067866,-9.823230803,-0.322777811,0.035938002,0.037036128
540,30,28768.76667,27334.1,30151.76667,38428.63333,36740.73333,40186.13333,721.5,693.7,750.3333333,1201.533333,1168.233333,1231.566667,25.96666667,23.43333333,28.4,41.7,38.63333333,45.16666667,261.9,239.1,285.8666667,-12.50949725,-14.67062569,-10.23512041,-11.03732156,-13.43416191,-8.66559351,-20.50629311,-23.98529227,-17.29357712,0.035989836,0.034705654
550,30,32125.6,31269.76667,33004.53333,42980.96667,41524.8,44205.13333,696.5333333,678.1333333,716.3,1159.533333,1119.866667,1204.066667,19.06666667,17.2,20.9,31.53333333,27.9,35.36666667,195.5666667,178.1333333,213.7,-2.796355561,-5.69749681,0.67956672,-3.269173271,-6.689553658,0.218968995,-25.61369887,-27.53097456,-23.68029117,0.02737366,0.027194849
560,30,31828.7,30874.8,32650.83333,42996.06667,40893.1,44882.9,737.5,708.6,769.2333333,1220.366667,1155.966667,1290.566667,15.53333333,13.76666667,17.6,25.33333333,22.86666667,27.8,139.3,126.5333333,152,5.936105223,2.272873029,9.126026815,4.910636797,1.981843574,7.805144349,-27.43468711,-31.31116521,-23.1542563,0.021062147,0.020758788
570,30,29236.9,27795.1,30536.63333,38814.83333,35723.83333,41833.6,844.9666667,804.4,893.1,1391.8,1301.433333,1480.8,12.46666667,11.2,13.7,20.53333333,18.73333333,22.2,107.9666667,100.8,115.1333333,14.43219232,11.81461178,16.88939361,13.72476869,11.67310996,15.6927619,-20.5088236,-25.12589975,-15.83237655,0.014754034,0.014753078
580,30,24417.83333,22580.36667,26141.46667,31414.33333,28091.1,34626.93333,984.9,940.0666667,1032.333333,1626.766667,1532.9,1719.166667,10.76666667,9.366666667,12.23333333,17.23333333,15.6,18.96666667,94.9,86.5,103.4666667,16.6980466,15.06752378,18.28205001,17.40625529,15.37307267,19.17754713,-11.95466237,-17.27154918,-6.815357468,0.010931736,0.010593611
590,30,18880.3,17068.23333,20595.26667,22609.46667,19980.93333,25365.46667,1149.233333,1104,1195.833333,1861.033333,1780.8,1935.766667,11.23333333,9.833333333,12.76666667,18.6,16.36666667,21.13333333,104.3333333,92.13333333,118.8666667,17.16642495,15.02594867,19.20878934,15.1689278,12.98174154,17.22216571,8.923871822,2.615187067,15.57673305,0.009774632,0.009994448
