timeStep,repNb,resource1amountMean,resource1amountICinf,resource1amountICsup,resource2amountMean,resource2amountICinf,resource2amountICsup,prey1PopulationSizeMean,prey1PopulationSizeICinf,prey1PopulationSizeICsup,prey2PopulationSizeMean,prey2PopulationSizeICinf,prey2PopulationSizeICsup,prey1catchesMean,prey1catchesICinf,prey1catchesICsup,prey2catchesMean,prey2catchesICinf,prey2catchesICsup,predator1PopulationSizeMean,predator1PopulationSizeICinf,predator1PopulationSizeICsup,prey1growthRateMean,prey1growthRateICinf,prey1growthRateICsup,prey2growthRateMean,prey2growthRateICinf,prey2growthRateICsup,predatorGrowthRateMean,predatorGrowthRateICinf,predatorGrowthRateICsup,prey1catchRate,prey2catchrate
910,30,17599.6,15362.5,19970.8,21920.36667,18721.4,25233.96667,1014.033333,954.8333333,1075.4,1616.933333,1523.366667,1706.366667,31.16666667,29.03333333,33.33333333,50.76666667,47.56666667,53.8,318.2,302.6,332.2,-11.10502289,-12.49214617,-9.572671912,-11.11567607,-12.49107738,-9.94744859,8.314566138,2.519839025,14.04236201,0.030735347,0.031396883
920,30,21915.3,19543.7,24020.9,28738.46667,25725.43333,31548.76667,898.9333333,845.1,957.0333333,1438.5,1365.933333,1512.2,30.43333333,27.76666667,33.23333333,49,45.7,52.36666667,308.6,287.2666667,329.4666667,-11.17473264,-13.14186192,-8.93135305,-10.70581072,-12.33968895,-9.051223202,-3.11841099,-8.511414583,2.168684134,0.033854939,0.03406326
930,30,26111.9,24047,27914.46667,34895.9,32340.96667,37317.2,794.0666667,753.9666667,833.1,1304.133333,1253.666667,1356.166667,27.66666667,24.5,31.06666667,44.6,40.26666667,48.56666667,274.9666667,248.4666667,299.5333333,-10.77559276,-13.58120893,-7.763832205,-8.666702511,-11.46651178,-5.707627427,-12.01650678,-16.56342345,-7.413516616,0.034841743,0.034198957
940,30,29482.1,28217.56667,30775.13333,39053.13333,37219.2,40768.13333,741.1,708.5,773.6,1242.433333,1194.5,1291.933333,23.26666667,20.6,25.93333333,37.23333333,33.06666667,40.56666667,222.2666667,195.8,245.9666667,-5.719279043,-9.919795202,-1.142928016,-4.268972777,-7.634663468,-1.063267719,-19.46476872,-23.01853525,-15.97389251,0.031394774,0.029968073
950,30,30575.56667,28893.53333,32046.56667,40296.96667,38186.36667,42398.2,752.2666667,712.1333333,794.4333333,1256.5,1192.733333,1331.133333,18.13333333,15.9,20.43333333,30.73333333,27.7,33.86666667,170.4333333,151.6666667,190.5666667,1.561352307,-2.052886496,5.300938841,1.107957155,-2.502523864,4.970220519,-22.06443052,-25.8421963,-18.35560484,0.024104927,0.024459477
960,30,29169.5,27364.5,30971.63333,38361.76667,35094.5,41265.43333,821.1,762.2,879.6,1369.4,1281.2,1472.966667,15.36666667,13.33333333,17.4,25.23333333,22.76666667,27.63333333,132.4,120.9333333,144.2666667,8.7424754,5.289590366,11.97096457,8.529116642,5.928804042,11.23126549,-19.41399707,-24.85663045,-14.10092099,0.018714732,0.018426562
970,30,25936.1,23358.7,28474.9,33046.13333,29104.43333,36766.4,939.0333333,873.1,1007.8,1550.966667,1448.1,1659.633333,12.8,11.3,14.33333333,21.16666667,18.96666667,23.53333333,114.3666667,104.4333333,124.5,14.57425944,12.67637913,16.55494274,13.49779768,11.38548376,15.58353566,-11.9460442,-18.40470621,-5.071639804,0.013631039,0.013647403
980,30,21269.73333,18876.1,23503.4,25882.43333,22369.66667,29313.53333,1063.166667,999.3333333,1121.7,1755.666667,1656.7,1842.866667,12.63333333,10.8,14.46666667,20.63333333,18.13333333,23.06666667,116.3,102.1,131.2666667,13.97974886,11.46517342,16.10590964,14.09323694,11.62223019,15.99316305,1.528859779,-5.167030198,8.501006673,0.01188274,0.011752421
990,30,16805.2,14915,18585.5,19217,16530,21876.7,1174.3,1130,1221.8,1941.3,1875.9,2013.166667,14.2,11.9,16.56666667,25,21.3,28.83333333,133.8,114.1666667,154.9333333,11.54426627,8.818299954,14.3817615,11.64982425,8.545716164,14.61921316,13.81835289,8.238852124,19.22945315,0.01209231,0.012877968
1000,30,13530.03333,12295.7,14765.33333,14085.4,12600.76667,15522.1,1273.533333,1242.133333,1305.9,2042.366667,1994.9,2095.566667,17.73333333,15.4,20.4,28.6,24.83333333,32.9,164.3333333,140.7333333,188.2333333,9.24379592,5.685491378,12.58836342,5.793818324,3.001272832,8.693821109,22.73762654,18.21553285,27.3332273,0.013924514,0.014003362
