"prey2avgOffs","prey2convRate","prey2catchProb","prey2maxCons","prey2resAva","replicatesNb","prey1densityDevMean","prey1densDevICinf","prey1densDevICsup","prey1amplitudeDevMean","prey1ampldevICinf","prey1ampldevICsup","prey2densityDevMean","prey2densDevICinf","prey2densDevICsup","prey2amplitudeDevMean","prey2ampldevICinf","prey2ampldevICsup","pred1densityDevMean","pred1densDevICinf","pred1densDevICsup","pred1amplitudeDevMean","pred1ampldevICinf","pred1ampldevICsup"
1,100,0.1,10,100,30,7.11507675693612e-17,-0.00441007932337406,0.00414783674899288,-6.10649768598148e-17,-0.10070351758794,0.0990954773869346,-1.78665224252981e-17,-0.00398163465990875,0.00379882499590687,8.10657964367412e-17,-0.0826787117046346,0.083071484681854,-3.45429635597039e-17,-0.00566723025862614,0.0054950216043584,9.26992857475106e-19,-0.0920634920634921,0.0912698412698413
1,100,0.1,15,100,30,0.120885819382929,0.117788954783174,0.123670395115482,-0.2078391959799,-0.258693467336683,-0.157185929648241,-0.259155801042819,-0.26178343885067,-0.256625594759188,-0.326394344069128,-0.366653574234093,-0.282600157109191,-0.353967061181038,-0.361826037948525,-0.346076773749139,-0.154761904761905,-0.225396825396825,-0.0896825396825397
1,100,0.1,20,100,30,0.213972924955584,0.209553837299502,0.218263894102044,-0.281005025125628,-0.342311557788945,-0.21929648241206,-0.421388328908737,-0.424133487214875,-0.41860701044928,-0.519442262372349,-0.541437549096622,-0.494501178318932,-0.685672239964932,-0.69915930866053,-0.670870123364018,-0.315079365079365,-0.365873015873016,-0.262698412698413
1,100,0.1,25,100,24,0.265181542927208,0.261321722593399,0.269003828541401,-0.360804020100503,-0.411557788944724,-0.315577889447236,-0.52856827890728,-0.53065627664928,-0.526497859017589,-0.61557344854674,-0.649695600942655,-0.577523566378633,-0.910294946458764,-0.924463022105329,-0.896733514935187,-0.597222222222222,-0.668650793650794,-0.514880952380952
1,100,0.1,30,100,8,0.278128518879964,0.275444786427445,0.280921102019368,-0.382663316582915,-0.437688442211055,-0.326130653266332,-0.609217976417553,-0.610340447843499,-0.607982504512486,-0.644294972505892,-0.699528672427337,-0.603053809897879,-0.959550535412361,-0.970235299643058,-0.948219988728161,-0.75,-0.8125,-0.68452380952381
1,100,0.1,5,100,30,-0.267208167554988,-0.281834697094813,-0.250570777969622,6.96321608040201,6.88100502512563,7.04462311557789,0.618589733931583,0.589596322110628,0.646601799369407,14.6139041633936,14.4911626080126,14.7368421052632,-0.0419484626463774,-0.102988602918154,0.0188020539795854,12.2960317460317,12.0920634920635,12.4944444444444
