prey2avgOffs,prey2convRate,prey2catchProb,prey2maxCons,prey2resAva,replicatesNb,densityDevMean,densDevICinf,densDevICsup,amplitudeDevMean,ampldevICinf,ampldevICsup
1,100,0.1,5,100,30,0.618589734,0.590682131,0.647495759,14.61390416,14.49214454,14.74410841
1,100,0.1,10,100,30,-1.79E-17,-0.003692353,0.003914337,8.11E-17,-0.077572663,0.082482325
1,100,0.1,15,100,30,-0.259155801,-0.261791474,-0.256361425,-0.326394344,-0.367831893,-0.280636292
1,100,0.1,20,100,30,-0.421388329,-0.424167638,-0.418674309,-0.519442262,-0.54418696,-0.493519246
1,100,0.1,25,100,24,-0.528568279,-0.530623632,-0.526496603,-0.615573449,-0.649941084,-0.578260016
1,100,0.1,30,100,8,-0.609217976,-0.610393181,-0.608023938,-0.644294973,-0.703210919,-0.60305381
