prey2avgOffs,prey2convRate,prey2catchProb,prey2maxCons,prey2resAva,replicatesNb,prey1extFreq,prey2extFreq,pred1extFreq,prey1densBeforeMean,prey1densBeforeMax,prey1densBeforeMin,prey2densBeforeMean,prey2densBeforeMax,prey2densBeforeMin,prey1growthBeforeMean,prey1growthBeforeMax,prey1growthBeforeMin,prey2growthBeforeMean,prey2growthBeforeMax,prey2growthBeforeMin,prey1densAfterMean,prey1densAfterMax,prey1densAfterMin,prey2densAfterMean,prey2densAfterMax,prey2densAfterMin,predatorDensMean,predatorDensMax,predatorDensMin,prey1growthAfterMean,prey1growthAfterMax,prey1growthAfterMin,prey2growthAfterMean,prey2growthAfterMax,prey2growthAfterMin,predatorGrowthMean,predatorGrowthMax,predatorGrowthMin,prey1catchesMean,prey1catchesMax,prey1catchesMin,prey2catchesMean,prey2catchesMax,prey2catchesMin
1,50,0.1,10,100,30,0,0,0,1650.346667,1657.7,1640.233333,1650.643333,1657.3,1643.5,0.004920999,0.04863865,-0.008227731,0.004388762,0.047990037,-0.005977028,1492.888462,1506.166667,1478.566667,1514.498718,1532.633333,1504.766667,75.04102564,78,71.2,0.000325269,0.007954693,-0.005696113,0.000836857,0.010262254,-0.006277767,0.005745728,0.029911076,-0.037888342,14.95512821,16.2,13.3,15.31538462,17,14.43333333
1,100,0.1,10,100,30,0,0,0,1652.036667,1662.433333,1643.9,1650.073333,1656.2,1642.833333,0.00557403,0.058234329,-0.006494207,0.004698353,0.049101601,-0.005663636,1280.865385,1295.066667,1265.7,1276.373077,1287.7,1264.066667,163.7846154,168.1,160.6333333,0.000326732,0.016914942,-0.01197692,0.00074123,0.00862984,-0.007591224,0.000837993,0.020970867,-0.022725324,23.02435897,24.7,20.93333333,23.26923077,24.86666667,21.76666667
1,150,0.1,10,100,30,0,0,0,1649.963333,1661.766667,1645.733333,1650.583333,1657.166667,1644.333333,0.00418919,0.041051448,-0.005501932,0.005386728,0.052990602,-0.003476118,1038.425641,1268.7,824.6333333,1040.84359,1262.066667,832.8333333,201.1948718,281.3333333,132.6333333,0.00301572,0.097961349,-0.092573228,0.003620071,0.101279127,-0.095179383,0.026555529,0.21703812,-0.176106244,21.9,29.06666667,14.36666667,21.33974359,29.26666667,15.03333333
1,200,0.1,10,100,30,0,0,0,1649.44,1659.466667,1639.1,1650.03,1667.4,1640.566667,0.004627295,0.047645225,-0.008791978,0.004299701,0.047557051,-0.015289294,901.4128205,1510.566667,452.3333333,900.2512821,1510.2,440.2666667,159.3525641,389.4666667,22.93333333,0.046369058,0.291785474,-0.235137354,0.046769002,0.290545334,-0.232654996,0.026847304,0.606241325,-0.42971418,12.13589744,28.73333333,2.033333333,11.95128205,28.93333333,1.666666667
1,250,0.1,10,100,30,0,0,0.4,1651.176667,1660.1,1641.9,1651.313333,1656.833333,1644.766667,0.004208665,0.048821168,-0.006300234,0.005105368,0.050095835,-0.00653417,1277.629487,1530.5,908.9666667,1283.801282,1550.366667,912.5666667,102.5166667,218.0666667,16.36666667,0.020658352,0.172415378,-0.104883378,0.020412817,0.171077634,-0.114783367,0.165234344,0.438464081,-0.215993316,6.198717949,13.33333333,0.933333333,6.080769231,12.6,1.1
1,300,0.1,10,100,30,0,0,1,1651.053333,1656.933333,1646.166667,1650.596667,1657.866667,1644.866667,0.0045237,0.047699731,-0.00389642,0.004362359,0.045398093,-0.004661349,1642.560256,1657.033333,1603,1641.553846,1657.4,1601.233333,0.008974359,0.1,0,0.00315464,0.015871022,-0.005468122,0.003758684,0.016090838,-0.007829931,-0.002136752,0,-0.033333333,0,0,0,0.001282051,0.033333333,0
1,500,0.1,10,100,30,0,0,1,1650.916667,1659.833333,1646.3,1650.04,1658.933333,1642.733333,0.004217574,0.040551955,-0.007261199,0.005208693,0.046962698,-0.005969346,1649.438462,1657.233333,1640.433333,1649.175641,1658.866667,1640.666667,0,0,0,0.000405469,0.007364297,-0.007633896,0.000186692,0.007063825,-0.008010109,0,0,0,0,0,0,0,0,0
