"prey2avgOffs","prey2convRate","prey2catchProb","prey2maxCons","prey2resAva","replicatesNb","prey1densityDevMean","prey1densDevICinf","prey1densDevICsup","prey1densDevMin","prey1densDevMax","prey2densityDevMean","prey2densDevICinf","prey2densDevICsup","prey2densDevMin","prey2densDevMax","pred1densityDevMean","pred1densDevICinf","pred1densDevICsup","pred1densDevMin","pred1densDevMax","prey1amplituDevMean","prey1ampldevICinf","prey1ampldevICsup","prey2amplituDevMean","prey2ampldevICinf","prey2ampldevICsup","pred1amplituDevMean","pred1ampldevICinf","pred1ampldevICsup","prey1catchRtDevMean","prey1ctRtDevICinf","prey1ctRtDevICsup","prey1catchRtMin","prey1densDevMax","prey2catchRtDevMean","prey2ctRtDevICinf","prey2ctRtDevICsup","prey2catchRtMin","prey2densDevMax"
0.1,100,0.1,10,100,28,0.212149452529304,0.208967580726458,0.215842868939483,0.198258389009834,0.230928608963291,-0.392306023377539,-0.404383084108086,-0.379026852788142,-0.448738462651082,-0.316030699970168,-0.679079667749121,-0.691634685059445,-0.667011083975202,-0.754602667668608,-0.62074957730603,-0.0517587939698493,-0.128643216080402,0.0281407035175879,0.575370328807092,0.343493996184491,0.815031982942431,0.188775510204082,0.0952380952380952,0.295068027210884,-0.625158930804226,-0.642306649431942,-0.608834972706592,-0.751627036027997,-0.556868993540417,-0.630824714330072,-0.648332136130552,-0.612770561096733,-0.733396864230348,-0.563164435509198
0.5,100,0.1,10,100,30,0.0474208642994771,0.0432890423641869,0.0512574131071242,0.0256287065535621,0.0631033706178215,-0.141944672956524,-0.146205544355953,-0.137404564817577,-0.168708208656138,-0.118837330536948,-0.137438161437786,-0.143019287369278,-0.132123176153798,-0.169406349802743,-0.106002254367838,0.00221105527638185,-0.0737688442211056,0.0812060301507537,0.204241948153967,0.0926944226237236,0.322073841319717,0.273015873015873,0.156349206349206,0.394444444444444,-0.0809621816690651,-0.099329952902083,-0.0646174711152982,-0.179026773185312,0.00572797125436934,-0.097772534768845,-0.111053658388737,-0.0820226685206531,-0.15823741909521,0.00702609858315596
1,100,0.1,10,100,30,7.11507675693612e-17,-0.00459525060681123,0.00415484322998781,-0.0324149838600705,0.0221755123489228,-1.78665224252981e-17,-0.00361802422931162,0.00359994415265209,-0.0191859746818659,0.0244472769897878,-3.45429635597039e-17,-0.00596468157054298,0.00551850460266763,-0.031326319744505,0.0332519256058613,-6.10649768598148e-17,-0.105326633165829,0.100904522613065,8.10657964367412e-17,-0.0832678711704634,0.083071484681854,9.26992857475106e-19,-0.0976190476190476,0.0880952380952381,-3.82303238545545e-17,-0.0121213119856482,0.0139376588213296,-0.0597782076021146,0.0882071309879957,-7.60109296829801e-17,-0.015292282238067,0.016221236889346,-0.0693225780682686,0.102475646092543
10,100,0.1,10,100,30,-0.298644245927483,-0.307298250882066,-0.289982233566049,-0.352300878312439,-0.24798438555664,0.36188076993002,0.356931851168827,0.366513287349672,0.329819771769166,0.386591212480074,0.412275345982842,0.396299079466466,0.426545181288747,0.285694157430021,0.505729851587451,0.740301507537688,0.543517587939698,0.93608040201005,6.18303220738413,5.66221523959152,6.6946190102121,1.45396825396825,1.24761904761905,1.64920634920635,0.338109261040001,0.320670337231195,0.354410613580035,0.24834744795427,0.430412845322917,0.415528927897242,0.393206410491279,0.437377541824461,0.29339450762008,0.505161526489342
2,100,0.1,10,100,30,-0.114010459675199,-0.11837950103846,-0.109405199809824,-0.143037309511298,-0.0905787853764732,0.0972557456976951,0.0947396016959112,0.0998622900827766,0.0822432553780694,0.11496819413181,0.201671989479617,0.195574237585321,0.207761913707809,0.16616569603607,0.23849333082848,0.261105527638191,0.152361809045226,0.366834170854271,0.108994501178319,0.0494893951296152,0.176355066771406,0.331746031746032,0.25,0.418253968253968,0.190063435806737,0.173127719225935,0.205235327944806,0.102053507187741,0.311838433939903,0.191168618680408,0.177221989965783,0.205194944714226,0.10227095415818,0.274152738700801
3,100,0.1,10,100,30,-0.166625128243625,-0.171423566799289,-0.162146985962015,-0.207506943923129,-0.139734254185121,0.174371290445383,0.172245876989185,0.176581077592658,0.16405560226242,0.186685831547926,0.280433965808754,0.273694345294007,0.286445613375916,0.245538230321247,0.313169265451813,0.21427135678392,0.0986934673366833,0.331055276381909,0.311665357423409,0.21681068342498,0.401413982717989,0.415873015873016,0.3,0.542063492063492,0.274535525641039,0.25846364166087,0.291051679205582,0.17686171375739,0.365518114664047,0.255343138345926,0.23860078109386,0.27264106347731,0.154631995124614,0.359724653409249
4,100,0.1,10,100,30,-0.208952280859795,-0.213534519430473,-0.20478542651953,-0.236093386382404,-0.180602056902635,0.228352372658504,0.226708090131191,0.229789738752937,0.215613954203166,0.23791271541658,0.329521259941136,0.325897050535412,0.333364643997746,0.298844636483186,0.356377982340785,0.24,0.127236180904523,0.354974874371859,0.698743126472899,0.560290652003142,0.832482325216025,0.545238095238095,0.430952380952381,0.650793650793651,0.28635094801471,0.270332722292844,0.303298761549901,0.202530575598873,0.401331523358381,0.274405929782795,0.258562590522328,0.289032996703862,0.196830215191037,0.380176145509094
5,100,0.1,10,100,30,-0.240566524034732,-0.247186647649075,-0.234493906863849,-0.289392688236619,-0.214773665640718,0.269107878795184,0.267403329345672,0.270784303681003,0.25921707241372,0.282992373220996,0.36148162063999,0.353974888847141,0.368659590456509,0.322797294758595,0.394185609618636,0.452462311557789,0.321407035175879,0.592763819095477,1.07109190887667,0.890416339355852,1.26158680282797,0.68968253968254,0.538095238095238,0.835714285714286,0.317876526431743,0.299642428340033,0.336249953763235,0.211284073424048,0.395290654065356,0.303588540593219,0.289003158533886,0.317162114429283,0.223641872373718,0.360968061071704
6,100,0.1,10,100,30,-0.2632715261617,-0.270481195105473,-0.25655531366514,-0.300893326326852,-0.219758276405675,0.29756089721376,0.295611262280641,0.299251384381425,0.287090523930488,0.305743136350898,0.392706180725155,0.383461707057424,0.401692341411485,0.325615254555702,0.450309975577682,0.38713567839196,0.241809045226131,0.519195979899497,1.8175569520817,1.61017282010998,2.02120974076984,0.697619047619048,0.557142857142857,0.842063492063492,0.319589667980749,0.297026791636495,0.34485131358262,0.208206509380157,0.460163999405795,0.327448947593892,0.314684120670488,0.339976353972795,0.27573578922038,0.394861169689766
7,100,0.1,10,100,30,-0.281995846157696,-0.287446888371744,-0.276363636363636,-0.315847158621725,-0.254049996246528,0.323407371247254,0.321744004194578,0.325348970590746,0.317706120407284,0.337142202816273,0.406952533032751,0.397848957354875,0.416009142714008,0.354264512492955,0.459703174901371,0.425527638190955,0.285025125628141,0.571055276381909,2.63747054202671,2.37156323644933,2.87627651217596,0.803174603174603,0.65952380952381,0.963492063492064,0.349706532174126,0.334206203220309,0.364339352502608,0.268560100225969,0.439426344754413,0.350985258935972,0.335800966587157,0.365541158162593,0.252064744636268,0.427696034940631
8,100,0.1,10,100,30,-0.306097139854365,-0.312963491229387,-0.299361909766534,-0.34371293446438,-0.257593273778245,0.34195552100252,0.338651889217344,0.34502310734242,0.324395748771308,0.355433213703493,0.41232231197946,0.403876260254243,0.421167574675935,0.359430772120984,0.463460454630847,0.546934673366834,0.411859296482412,0.693668341708543,3.43421052631579,3.07639434406913,3.79654359780047,0.954761904761905,0.775396825396825,1.13492063492064,0.354523281742279,0.331536230667041,0.376768470395439,0.237024442480311,0.478448815933015,0.357197521439683,0.340464781634771,0.375856904894317,0.285651237106805,0.459604074426403
9,100,0.1,10,100,30,-0.305324425093211,-0.312576132922954,-0.298466081125041,-0.339448990316042,-0.255641468358231,0.351942754459501,0.348835994620173,0.355254421834304,0.335876597450107,0.367938600059664,0.414091364518755,0.401668858413175,0.424987475734235,0.325850084538794,0.465104264512493,0.655075376884422,0.488844221105528,0.835577889447236,5.17674783974863,4.83876669285153,5.47034564021995,1.28650793650794,1.11825396825397,1.4531746031746,0.354547989686296,0.333597554862965,0.376768187407689,0.222256968440573,0.459457553332382,0.397731261968566,0.381218581680706,0.412812236230563,0.310329160516343,0.48587972455546
